date,nav
27-12-17,27.7513
28-12-17,27.7649
29-12-17,27.9394
01-01-18,27.8811
02-01-18,27.7915
03-01-18,27.945
04-01-18,28.2318
05-01-18,28.5791
08-01-18,28.7747
09-01-18,28.6535
10-01-18,28.6058
11-01-18,28.577
12-01-18,28.5844
15-01-18,28.5247
16-01-18,28.0672
17-01-18,28.2662
18-01-18,27.8991
19-01-18,28.1061
22-01-18,28.3118
23-01-18,28.5088
24-01-18,28.3434
25-01-18,27.9666
29-01-18,27.857
30-01-18,27.6997
31-01-18,27.5101
01-02-18,27.5312
02-02-18,26.7576
05-02-18,26.6692
06-02-18,26.3007
07-02-18,26.491
08-02-18,26.9196
09-02-18,26.8314
12-02-18,27.2288
14-02-18,27.1736
15-02-18,26.958
16-02-18,26.6704
19-02-18,26.3886
20-02-18,26.5136
21-02-18,26.4125
22-02-18,26.1752
23-02-18,26.5801
26-02-18,26.8197
27-02-18,26.7208
28-02-18,26.6044
01-03-18,26.4248
05-03-18,26.1495
06-03-18,25.9177
07-03-18,25.6265
08-03-18,25.6086
09-03-18,25.6188
12-03-18,25.8089
13-03-18,26.1248
14-03-18,26.1544
15-03-18,26.1654
16-03-18,25.9368
19-03-18,25.5587
20-03-18,25.6815
